RipeningStage,Tree,Germination,GerminationTime,Moisture,Ashes,Protein,Fat,Fiber,Carbohydrates,TotalPolyphenols,PolyphenolConcentration,AntioxidantActivity,Absorbance,TotalCarotenoids
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
R,A29,0.6,53.66,80.86,0.74,0.85,0.57,4.01,12.97,121.87,12.6,21.52,0.463333333,3.543333333
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
P,A29,0.2,53,79.32,0.97,0.99,0.22,6.02,12.48,303.3,32.77,38.05,0.546666667,4.18
